region,city,revenue,orders,quantity
MG,ipatinga,21957.22,171,202
RO,porto velho,21938.53,109,124
SP,sumare,21487.92,181,205
PE,jaboatao dos guararapes,21405.16,135,144
MG,pouso alegre,21372.21,131,148
SP,sao vicente,21107.09,163,178
MG,nova lima,20962.05,98,104
SP,atibaia,20913.21,157,183
SP,embu das artes,20727.72,164,176
AM,manaus,20652.56,139,156
SP,araraquara,20352.07,154,180
SC,sao jose,20350.46,168,198
RJ,rio das ostras,20268.71,136,158
SP,braganca paulista,20127.62,144,160
SP,rio claro,20124.58,152,180
RJ,barra mansa,20086.96,121,135
RS,novo hamburgo,19847.08,122,148
MG,governador valadares,19659.05,139,152
SP,itaquaquecetuba,19365.24,171,180
SC,itajai,19348.57,120,129
RS,gravatai,19110.02,112,119
PR,ponta grossa,18923.38,142,163
RJ,angra dos reis,18893.04,85,107
RJ,sao joao de meriti,18796.24,132,155
SP,jacarei,18479.13,193,212
SP,itapevi,18348.91,170,195
PA,ananindeua,18075.24,88,98
TO,palmas,17821.1,90,110
ES,cariacica,17574.58,138,157
PB,campina grande,17500.53,68,75
MG,sete lagoas,17308.35,127,139
RJ,araruama,17199.19,77,89
MG,pocos de caldas,17190.35,119,151
RJ,cabo frio,17182.67,116,133
GO,anapolis,17179.78,112,127
SP,botucatu,17179.5,101,113
RJ,teresopolis,17115.29,119,129
SC,balneario camboriu,16958.38,100,119
MG,patos de minas,16791.97,100,104
SP,aracatuba,16733.59,139,163
SP,paulinia,16658.69,129,144
SP,hortolandia,16523.21,145,159
RS,rio grande,16516.78,124,132
BA,vitoria da conquista,16497.2,90,105
MG,vicosa,16401.25,89,106
RJ,mage,16186.65,111,133
ES,cachoeiro de itapemirim,15871.63,121,135
SP,ferraz de vasconcelos,15768.28,111,127
RJ,marica,15670.96,138,154
SC,criciuma,15422.08,92,113
SC,chapeco,15322.25,103,126
RS,passo fundo,15223.21,113,129
PR,sao jose dos pinhais,15124.05,131,143
SP,guaratingueta,14751.12,96,105
SP,birigui,14611.34,78,95
GO,aparecida de goiania,14554.46,110,122
PE,petrolina,14313.0,65,69
MG,varginha,14223.0,89,99
MG,itajuba,14115.6,94,108
RJ,belford roxo,13932.95,111,121
AC,rio branco,13904.32,70,78
RJ,nilopolis,13718.18,107,118
SP,caieiras,13624.52,100,104
RJ,resende,13545.25,117,137
SP,caraguatatuba,13536.86,88,109
SP,araras,13327.37,94,114
MG,lavras,13297.75,83,95
PE,olinda,13149.78,93,98
MG,araxa,13136.21,76,91
SP,santa barbara d'oeste,13072.08,118,135
SP,pindamonhangaba,13070.16,101,107
SC,jaragua do sul,12966.56,89,111
BA,porto seguro,12890.09,40,51
SP,itu,12707.03,135,147
MG,ribeirao das neves,12674.44,99,119
SP,ourinhos,12543.03,77,94
SP,mogi-guacu,12453.82,91,106
MG,barbacena,12296.61,80,91
MT,rondonopolis,12243.04,65,73
SP,itapetininga,12232.88,77,94
ES,linhares,12211.41,65,77
SP,assis,12199.23,84,101
SP,itatiba,12049.31,97,107
SP,sao joao da boa vista,11786.81,81,95
SP,amparo,11751.58,66,74
PR,foz do iguacu,11586.38,87,98
MG,santa luzia,11566.46,91,105
AP,macapa,11451.92,54,62
SC,palhoca,11440.12,94,113
CE,sobral,11368.84,35,36
SP,tatui,11331.03,73,83
SC,lages,11281.11,83,95
RS,sao leopoldo,11064.67,104,115
BA,barreiras,11043.93,52,59
MG,muriae,11015.42,64,74
SP,votorantim,10901.22,85,99
MG,araguari,10869.52,54,58
SP,varzea paulista,10780.18,78,85
SP,salto,10709.39,94,102
SC,gaspar,10643.04,30,42
SC,tubarao,10606.13,60,67
MG,itabira,10544.49,79,95
ES,guarapari,10544.41,67,74
SP,itanhaem,10506.24,79,106
RS,santa cruz do sul,10360.88,62,80
SP,cacapava,10160.07,74,86
SP,catanduva,10149.83,75,82
SP,ribeirao pires,10149.63,107,120
SP,franco da rocha,10122.2,109,115
PR,toledo,10053.64,70,76
GO,jatai,10040.37,54,60
SP,cajamar,9873.27,99,115
MG,caratinga,9690.26,62,71
SP,sao roque,9602.33,78,91
PE,caruaru,9535.69,64,81
SP,bertioga,9520.55,48,53
SP,barretos,9500.97,73,84
SP,jau,9460.56,73,84
GO,rio verde,9450.0,64,91
RS,bage,9435.64,63,66
MG,conselheiro lafaiete,9434.37,84,87
SP,francisco morato,9365.31,98,109
SP,poa,9343.45,85,100
RS,cachoeirinha,9297.25,72,84
PR,paranagua,9244.45,60,73
SP,lins,9189.96,55,62
SP,vinhedo,9152.87,94,115
RJ,mesquita,9132.02,75,95
SP,mairipora,9087.38,75,83
PR,pato branco,9047.64,53,66
SP,mogi mirim,9010.97,76,87
BA,lauro de freitas,8954.88,75,85
MS,dourados,8907.7,64,74
BA,ilheus,8906.74,72,87
SP,ubatuba,8900.83,76,87
SP,sao sebastiao,8880.36,59,76
SP,itapecerica da serra,8738.78,98,109
AL,arapiraca,8728.71,29,34
PR,pinhais,8711.82,67,74
PR,guarapuava,8625.45,64,76
SP,pirassununga,8550.33,69,74
BA,itabuna,8523.72,61,67
MG,manhuacu,8510.0,64,78
SP,jaguariuna,8502.37,61,81
MG,paracatu,8430.41,63,77
SC,brusque,8421.55,60,63
MG,lagoa santa,8400.97,59,66
SP,avare,8382.97,63,70
SP,votuporanga,8372.9,63,76
BA,luis eduardo magalhaes,8343.87,36,43
MG,sao joao del rei,8297.97,67,74
SP,jandira,8260.47,84,100
TO,araguaina,8203.54,41,41
SP,leme,8152.92,50,53
SC,videira,8107.6,47,55
RS,lajeado,8068.41,50,57
SP,lorena,7965.02,83,94
MG,itauna,7942.95,57,64
MG,nova serrana,7856.26,51,58
MG,timoteo,7783.77,53,63
MG,teofilo otoni,7744.23,75,94
RR,boa vista,7739.53,45,51
BA,juazeiro,7677.28,44,49
SP,aruja,7614.78,69,77
PR,colombo,7531.9,61,75
SP,itapira,7519.54,54,60
RN,parnamirim,7518.67,59,66
PR,francisco beltrao,7491.38,52,59
SP,fernandopolis,7445.06,53,58
MS,tres lagoas,7431.32,42,47
SP,boituva,7412.05,49,56
MG,ibirite,7410.68,50,51
BA,camacari,7294.22,61,75
PR,apucarana,7283.7,52,66
PR,campo mourao,7259.52,56,64
PR,paranavai,7228.95,46,57
RJ,tres rios,7227.52,39,40
SP,matao,7207.71,52,58
MA,imperatriz,7171.38,40,44
MG,para de minas,7162.08,37,41
RJ,itaborai,7134.27,60,64
MG,ponte nova,7106.89,40,47
BA,jacobina,7079.66,24,24
MT,varzea grande,7043.05,41,47
CE,juazeiro do norte,7034.78,34,39
SP,cubatao,6996.03,79,87
RJ,itaperuna,6963.57,47,54
MG,joao monlevade,6959.85,51,59
BA,eunapolis,6944.8,38,42
ES,colatina,6925.51,65,81
SP,sertaozinho,6884.13,62,74
MG,ouro preto,6861.56,56,65
RS,bento goncalves,6828.56,55,63
MG,unai,6825.39,54,57
MG,patrocinio,6817.53,46,56
MG,pirapora,6803.07,42,49
SP,andradina,6794.42,43,51
SC,navegantes,6783.17,31,36
SP,cosmopolis,6747.8,52,60
SP,lencois paulista,6720.22,43,46
SP,jaboticabal,6706.02,54,60
SP,peruibe,6681.02,44,64
RS,viamao,6655.1,73,85
PR,arapongas,6617.96,34,41
RJ,paracambi,6571.96,35,36
ES,sao mateus,6569.97,47,50
RS,esteio,6521.86,41,46
BA,paulo afonso,6492.59,39,45
SP,tupa,6483.03,52,61
RS,erechim,6478.28,58,63
MT,sinop,6474.65,44,56
RJ,itaguai,6417.74,48,50
BA,valenca,6373.59,35,37
MG,uba,6369.76,53,68
SP,itapeva,6360.23,52,61
SP,mococa,6295.97,34,40
SP,registro,6288.47,46,50
RS,cachoeira do sul,6288.32,32,35
RS,osorio,6251.24,35,41
BA,alagoinhas,6249.23,40,43
SP,embu-guacu,6244.68,46,57
MT,primavera do leste,6232.81,28,31
RS,alvorada,6207.73,50,54
MG,vespasiano,6172.59,43,49
RJ,queimados,6156.75,54,66
SC,sao miguel do oeste,6155.72,40,48
SC,itapema,6109.87,44,48
SP,cruzeiro,6109.5,56,68
MG,guaxupe,6081.17,37,41
PR,rolandia,6061.03,27,34
SP,artur nogueira,6029.68,41,50
SC,taio,5965.23,15,18
SC,concordia,5963.39,50,64
SP,olimpia,5862.54,37,41
CE,caucaia,5856.66,35,37
SP,mirassol,5850.89,29,31
SP,vargem grande paulista,5833.55,44,49
MT,lucas do rio verde,5807.76,24,30
PR,umuarama,5770.52,40,40
PE,paulista,5736.77,41,49
RS,sapucaia do sul,5683.84,40,49
RS,ijui,5584.45,52,66
SP,batatais,5574.8,28,31
MG,ituiutaba,5547.87,55,67
RJ,barra do pirai,5543.41,54,55
MG,curvelo,5541.0,43,50
GO,catalao,5454.03,34,42
GO,valparaiso de goias,5437.85,37,42
RS,santo angelo,5433.26,46,56
SP,adamantina,5425.97,36,38
RS,guaiba,5417.51,31,37
MG,arcos,5391.73,25,28
PA,santarem,5387.66,44,47
SP,mongagua,5367.53,42,46
SP,itupeva,5355.51,44,61
MG,alfenas,5350.32,43,53
CE,maracanau,5342.73,34,41
RJ,santo antonio de padua,5330.88,31,38
GO,caldas novas,5301.63,36,42
GO,formosa,5282.15,34,39
MA,balsas,5274.43,17,20
RJ,arraial do cabo,5237.89,29,39
TO,gurupi,5229.29,24,27
PA,altamira,5168.15,25,27
GO,itumbiara,5156.12,36,46
MG,santa barbara,5118.21,26,31
SP,sao jose do rio pardo,5106.24,44,51
RS,santo antonio da patrulha,5100.08,17,18
PA,tucurui,5096.7,17,20
PR,araucaria,5086.1,54,65
PR,uniao da vitoria,5081.93,29,47
MG,itabirito,5078.13,29,33
MG,pedro leopoldo,5057.01,40,50
PR,mandaguari,5039.15,18,24
SP,santo antonio de posse,5027.89,20,20
SP,campo limpo paulista,5013.34,48,51
SP,bebedouro,4992.89,51,60
MG,salinas,4986.77,22,28
MT,campo novo do parecis,4970.79,16,24
SP,piraju,4954.98,18,25
RS,montenegro,4910.6,32,34
SP,tremembe,4876.03,38,40
RN,mossoro,4875.46,36,39
SC,sao bento do sul,4869.9,44,47
PR,cianorte,4863.67,39,44
RJ,armacao dos buzios,4836.4,29,30
MG,sao sebastiao do paraiso,4800.05,35,37
MG,bom jesus do galho,4795.29,4,4
SC,rio do sul,4777.85,35,43
SP,louveira,4777.82,44,46
SP,penapolis,4776.58,37,48
GO,luziania,4761.46,33,36
SP,capivari,4753.16,34,35
MT,caceres,4750.19,25,31
SC,joacaba,4721.0,26,27
MS,corumba,4700.17,27,34
MT,juina,4695.32,17,18
PR,telemaco borba,4693.49,34,37
RS,capao da canoa,4692.09,38,45
BA,jequie,4687.84,34,36
MG,bom despacho,4680.53,38,43
RJ,saquarema,4673.05,46,51
RJ,sao pedro da aldeia,4672.43,46,50
BA,simoes filho,4671.48,21,25
PR,fazenda rio grande,4655.49,29,30
RS,uruguaiana,4653.96,48,55
SP,taquaritinga,4604.03,33,37
MG,carangola,4592.0,27,32
BA,guanambi,4589.57,37,40
MG,cataguases,4584.86,33,36
SC,canoinhas,4583.01,27,28
SC,cacador,4569.38,40,42
SP,monte mor,4544.84,39,42
SP,dracena,4538.05,27,38
MG,tres coracoes,4493.83,41,52
MG,extrema,4492.03,40,43
RJ,vassouras,4491.8,37,46
RS,alegrete,4483.77,35,40
MG,sabara,4481.78,42,44
RJ,japeri,4458.27,34,45
SP,nova odessa,4438.61,38,45
RS,taquara,4427.54,21,22
MG,ouro branco,4419.23,41,45
MG,mariana,4416.58,33,34
MG,formiga,4407.94,32,34
RJ,rio bonito,4402.01,28,30
RS,campo bom,4394.71,36,42
RJ,seropedica,4391.15,33,41
SP,promissao,4369.85,32,32
BA,santo antonio de jesus,4361.85,30,33
CE,pacatuba,4317.98,5,5
SP,sao joaquim da barra,4302.49,34,41
SC,biguacu,4301.2,24,24
SP,pereira barreto,4294.72,19,19
PR,almirante tamandare,4255.69,35,38
RS,santana do livramento,4248.23,20,29
MG,passos,4247.28,43,46
MG,sao lourenco,4222.89,33,39
MG,coronel fabriciano,4201.7,41,43
SP,monte alegre do sul,4181.79,6,7
SC,xanxere,4175.87,29,35
SP,tiete,4142.82,36,46
RO,ariquemes,4124.97,13,21
SP,barra bonita,4122.43,29,32
PE,garanhuns,4107.48,31,37
PA,parauapebas,4092.06,27,34
PE,trindade,4084.8,4,4
MG,santa vitoria,4083.77,17,17
MT,barra do garcas,4076.2,25,35
MG,andradas,4070.31,12,14
ES,aracruz,4064.07,40,42
PI,parnaiba,4060.01,23,26
MS,ponta pora,4038.51,18,23
PB,patos,4036.65,16,17
PA,abaetetuba,4028.57,11,14
SP,orlandia,4027.32,28,36
SP,alvares machado,4022.57,8,8
MG,carmo do paranaiba,4008.64,16,18
SP,santa fe do sul,3994.67,35,35
MT,tangara da serra,3970.6,24,24
SC,timbo,3957.67,20,22
RJ,valenca,3940.46,27,30
PR,cambe,3930.67,27,30
SP,itarare,3915.3,28,39
MG,santa rita do sapucai,3910.7,35,38
PR,campo largo,3894.89,37,43
CE,russas,3843.87,9,11
SC,imbituba,3838.35,34,36
ES,guacui,3797.29,16,18
SP,ituverava,3783.73,29,34
PB,catole do rocha,3742.59,6,7
SP,aparecida,3740.96,25,25
MG,ipanema,3727.77,7,9
SP,martinopolis,3708.09,8,10
MG,piumhii,3707.31,28,30
SP,cerqueira cesar,3701.52,18,21
SP,guaira,3698.54,36,44
SP,presidente venceslau,3691.89,25,34
SP,sao pedro,3683.54,12,14
RS,sapiranga,3660.6,25,30
PE,camaragibe,3642.88,35,36
RS,panambi,3640.99,17,19
PR,marechal candido rondon,3638.56,31,34
PA,castanhal,3628.62,21,25
RJ,miguel pereira,3602.2,28,32
PI,picos,3598.56,18,20
PA,maraba,3597.17,22,22
PR,laranjeiras do sul,3595.56,20,23
GO,posse,3550.25,16,18
CE,iguatu,3538.29,14,17
SC,tijucas,3504.74,30,30
GO,pires do rio,3500.83,12,17
MT,alta floresta,3495.55,12,15
MG,frutal,3474.85,26,30
MG,januaria,3471.23,22,26
RJ,casimiro de abreu,3458.33,20,22
SP,ibiuna,3439.52,31,36
BA,teixeira de freitas,3439.17,29,30
GO,trindade,3425.57,24,26
BA,campo formoso,3419.13,10,11
RO,ji-parana,3412.04,17,19
RJ,bom jesus do itabapoana,3405.91,20,25
RS,dois irmaos,3398.76,17,19
GO,mineiros,3379.3,25,30
ES,viana,3371.82,21,25
SP,guararapes,3370.84,19,22
SP,itapolis,3363.99,28,33
MT,sorriso,3342.75,20,25
SC,indaial,3334.74,26,29
BA,ipira,3332.68,7,8
MG,espera feliz,3315.75,19,19
SP,cerquilho,3299.91,30,35
RS,sao luiz gonzaga,3298.01,15,17
SP,cachoeira paulista,3292.0,25,27
SP,ilhabela,3286.28,45,50
SP,sao manuel,3278.99,21,21
MT,nova xavantina,3274.69,10,11
SP,campos do jordao,3273.0,26,27
MG,monte carmelo,3269.13,24,25
SP,serra negra,3267.53,14,17
RS,trindade do sul,3266.99,4,4
RS,ibiruba,3252.8,21,25
MA,bacabal,3243.71,11,14
SC,ituporanga,3225.16,15,16
PR,mandaguacu,3222.0,4,4
RS,farroupilha,3213.03,27,27
BA,valente,3209.58,9,10
CE,itapaje,3198.68,6,6
SE,itabaiana,3185.67,16,20
RS,gramado,3176.24,30,32
SP,jales,3173.05,29,32
RS,guapore,3153.15,18,28
RS,cruz alta,3152.1,32,34
MG,cambui,3133.74,22,26
CE,crato,3128.56,19,20
SP,quata,3119.56,12,13
SC,camboriu,3118.18,28,33
SP,porto feliz,3108.97,22,26
MG,claudio,3092.97,22,23
SP,aguas de lindoia,3092.59,22,25
SP,capao bonito,3078.97,28,33
SP,juquitiba,3073.87,21,25
RJ,guapimirim,3067.16,22,23
SP,barrinha,3036.93,20,22
BA,ibotirama,3032.39,7,9
SC,porto uniao,3023.65,14,14
SP,garca,3013.41,28,33
BA,cicero dantas,3010.05,10,23
SC,santo amaro da imperatriz,3007.31,12,14
SP,pederneiras,3007.07,21,24
PR,medianeira,3007.04,22,25
MG,janauba,2990.16,17,28
MG,buritizeiro,2987.99,9,14
SP,macatuba,2984.64,12,18
RS,santa rosa,2972.04,33,36
SC,braco do norte,2962.47,20,24
RJ,paraiba do sul,2949.57,18,20
MG,congonhas,2938.61,30,35
SP,ibitinga,2911.26,22,24
ES,marataizes,2907.27,16,17
SP,pedreira,2893.6,36,39
SP,monte azul paulista,2887.91,19,23
ES,alegre,2884.07,17,18
SC,curitibanos,2878.94,20,25
PE,cabo de santo agostinho,2877.95,21,22
SP,santa isabel,2875.46,29,33
MG,almenara,2872.15,14,16
MG,alem paraiba,2870.56,28,29
PR,matinhos,2862.15,27,33
SP,mairinque,2860.12,25,29
SP,piedade,2852.76,23,25
PR,castro,2847.19,22,30
SP,cunha,2845.12,14,16
BA,bom jesus da lapa,2829.63,9,11
RJ,quissama,2827.66,13,15
SP,castilho,2822.21,10,12
RS,encantado,2807.17,11,12
SP,novo horizonte,2798.39,17,19
MS,maracaju,2791.96,13,16
RS,estancia velha,2782.1,20,28
RJ,paraty,2780.77,19,23
PA,rondon do para,2780.13,9,13
RJ,parati,2779.7,13,14
CE,aracati,2769.53,22,24
SP,paraguacu paulista,2766.8,20,20
SP,piracaia,2764.83,22,25
RS,venancio aires,2764.62,26,27
MG,machado,2761.92,21,23
MT,agua boa,2758.87,18,21
BA,brumado,2748.75,22,29
RN,pau dos ferros,2745.55,9,9
SP,pirapora do bom jesus,2744.66,16,17
RN,alto do rodrigues,2737.46,8,10
RS,imbe,2727.95,13,17
BA,itapetinga,2727.12,18,19
RN,caico,2723.2,10,10
SP,holambra,2719.2,23,26
SC,fraiburgo,2715.57,14,14
SP,rancharia,2713.19,22,24
SP,bariri,2706.45,15,19
MG,espinosa,2705.09,6,12
RS,tramandai,2703.52,25,28
MG,santana do paraiso,2696.82,16,19
SC,garopaba,2693.08,23,31
MG,taiobeiras,2684.71,13,14
MG,jacutinga,2670.82,18,20
SC,itapiranga,2667.18,11,12
PE,santa cruz do capibaribe,2664.87,13,16
SP,ipero,2659.28,18,19
PE,escada,2658.43,10,11
PA,pacaja,2651.06,6,6
ES,venda nova do imigrante,2647.83,15,22
RJ,natividade,2645.37,15,16
MG,santa juliana,2622.39,9,10
SP,santa cruz do rio pardo,2621.48,35,38
CE,quixada,2620.67,12,12
RJ,cordeiro,2604.86,24,25
SP,tapiratiba,2601.22,12,12
SE,estancia,2594.65,9,12
MG,sao joao nepomuceno,2594.0,14,23
MG,oliveira,2579.0,22,22
PR,marialva,2573.17,16,19
SP,presidente epitacio,2572.52,23,26
MG,capelinha,2562.96,19,20
BA,senhor do bonfim,2557.28,19,25
RS,carlos barbosa,2554.79,19,21
SP,monte alto,2549.01,33,34
SP,taquarituba,2548.52,16,18
RS,vacaria,2540.07,23,26
MS,aparecida do taboado,2531.9,7,12
MG,monte siao,2530.28,20,22
RS,feliz,2523.43,14,15
MG,pitangui,2517.23,22,25
MG,ouro fino,2511.84,16,23
BA,riachao do jacuipe,2502.4,5,5
BA,dias d'avila,2493.44,24,26
PR,missal,2490.76,7,7
MG,araujos,2490.5,5,5
MG,caete,2482.97,27,28
MG,sao gotardo,2479.38,20,25
MG,joao pinheiro,2475.31,16,18
MT,paranatinga,2463.29,2,3
MG,manhumirim,2461.78,16,16
SP,bonfim paulista,2457.37,18,23
PR,irati,2455.22,22,23
PE,vitoria de santo antao,2455.15,15,17
SP,piratininga,2449.18,9,10
RJ,barra de sao joao,2440.85,13,19
ES,nova venecia,2439.9,19,19
MG,diamantina,2424.28,27,29
PI,floriano,2424.02,18,18
MA,codo,2419.82,8,11
RS,canela,2418.63,17,19
PR,dois vizinhos,2409.52,28,32
CE,crateus,2407.76,9,9
MG,coromandel,2403.93,25,30
RS,quarai,2402.99,4,4
MG,nanuque,2395.97,25,28
RS,veranopolis,2394.04,18,26
CE,tiangua,2377.09,9,9
PE,abreu e lima,2376.95,11,14
SP,cravinhos,2363.95,24,30
RS,sao gabriel,2362.85,23,24
SP,americo brasiliense,2360.1,17,18
RJ,iguaba grande,2348.6,19,26
GO,goiatuba,2347.44,10,11
GO,ipameri,2320.55,13,14
SP,socorro,2319.45,19,23
SC,icara,2317.34,21,28
PE,salgueiro,2315.95,17,17
RS,santiago,2304.7,26,33
MT,querencia,2302.62,10,11
SP,ilha solteira,2299.44,24,26
SC,penha,2298.09,17,18
MG,tres pontas,2293.71,20,20
SE,nossa senhora do socorro,2282.92,14,15
SP,rio grande da serra,2264.3,26,27
MG,brumadinho,2258.23,26,33
RS,cruzeiro do sul,2247.89,4,4
PE,ouricuri,2246.86,8,8
SC,ararangua,2246.55,18,20
MT,comodoro,2245.02,7,8
SP,itaporanga,2237.28,12,16
RJ,paty do alferes,2234.66,13,20
PR,cornelio procopio,2234.17,24,25
GO,aguas lindas de goias,2219.91,24,26
PA,novo progresso,2219.01,5,7
RJ,pirai,2218.16,15,19
CE,eusebio,2217.51,13,21
RS,estrela,2217.15,16,16
ES,piuma,2216.18,17,19
GO,inhumas,2210.83,16,17
SP,laranjal paulista,2209.33,17,20
RO,vilhena,2207.95,18,21
MG,bambui,2206.67,18,19
BA,mucuri,2203.67,7,7
SC,laguna,2202.73,14,22
PB,pianco,2200.0,1,1
PA,nova esperanca do piria,2199.0,1,1
MS,nova andradina,2194.87,11,14
PE,carpina,2194.76,10,10
RJ,bom jardim,2189.45,14,14
PA,paragominas,2182.65,19,20
MG,camanducaia,2180.67,9,10
MG,varzea da palma,2171.77,11,11
MG,matias barbosa,2169.86,13,16
PE,araripina,2169.58,12,15
AL,teotonio vilela,2168.68,8,11
RS,marau,2167.34,22,25
RJ,pinheiral,2165.19,14,15
MG,guarani,2164.42,7,7
MT,colider,2161.73,8,10
SP,espirito santo do pinhal,2160.02,18,19
AL,sao sebastiao,2159.98,1,2
SP,bofete,2157.59,6,10
PI,sao raimundo nonato,2145.39,7,11
MA,presidente dutra,2140.98,12,13
RS,sao lourenco do sul,2135.38,14,15
PE,taquaritinga do norte,2129.9,7,10
GO,novo gama,2124.94,16,16
RS,sao borja,2124.74,18,18
SP,santa rita do passa quatro,2123.97,18,22
RJ,sao joao da barra,2115.54,15,16
PA,tailandia,2113.18,4,4
GO,cristalina,2112.65,8,8
SP,aguai,2111.48,10,19
PR,rio negro,2105.87,15,15
MG,paraisopolis,2101.66,15,16
RS,sao sebastiao do cai,2087.84,13,18
SP,viradouro,2081.54,18,25
PR,antonina,2077.57,10,10
SP,conchal,2075.24,19,21
MG,nova era,2074.71,15,16
PR,sarandi,2063.93,18,18
MG,lagoa grande,2060.89,4,4
MG,santos dumont,2056.3,22,23
PE,serra talhada,2053.18,10,13
GO,goianesia,2044.47,18,23
RJ,cambuci,2042.79,8,8
PR,lapa,2039.2,14,18
BA,serrinha,2039.14,15,17
SP,ipua,2031.49,4,13
RS,carazinho,2030.93,23,23
RJ,sao fidelis,2029.25,23,24
SP,junqueiropolis,2029.24,15,19
GO,ipora,2025.99,15,16
BA,nucleo residencial pilar,2024.35,8,9
SC,cocal do sul,2015.29,4,4
PR,palmeira,2013.32,12,13
BA,cruz das almas,2007.24,18,20
SP,porto ferreira,2000.7,27,33
MG,conselheiro pena,2000.56,15,18
SE,cedro de sao joao,1999.99,3,3
MG,engenheiro navarro,1997.0,1,1
CE,ico,1990.88,8,9
PE,agrestina,1989.0,1,1
MG,sacramento,1986.57,13,21
SP,miguelopolis,1984.27,14,14
ES,anchieta,1983.8,14,15
RJ,cantagalo,1981.48,17,18
PE,gravata,1970.99,11,15
RS,tres de maio,1969.05,12,14
SP,cesario lange,1966.5,13,13
PB,sape,1959.99,2,2
MG,santo antonio do monte,1959.11,15,16
MG,barao de cocais,1958.4,18,19
RJ,cachoeiras de macacu,1958.25,21,23
SE,lagarto,1955.43,11,11
PE,igarassu,1936.82,13,14
SC,bombinhas,1935.41,15,15
PR,goioere,1935.28,11,12
PR,sao mateus do sul,1933.95,15,20
MG,guanhaes,1931.45,18,19
SC,campos novos,1929.69,14,22
PR,palmas,1921.38,19,21
RS,triunfo,1918.53,11,14
MT,mirassol d'oeste,1912.02,14,14
MS,navirai,1910.88,8,10
SP,pompeia,1907.08,17,24
GO,ceres,1905.47,7,7
MG,igarape,1904.26,10,13
MG,itanhandu,1899.98,14,15
AL,maragogi,1897.05,5,5
PR,pinhalao,1894.94,7,7
GO,piracanjuba,1893.26,10,11
BA,caetite,1892.3,10,10
ES,santa maria de jetiba,1888.97,15,20
SP,santo anastacio,1884.6,17,22
PE,parnamirim,1884.22,4,4
SP,auriflama,1871.66,10,11
MT,paranaita,1858.75,4,6
RS,eldorado do sul,1853.48,15,15
SP,morro agudo,1850.95,10,20
PR,jandaia do sul,1839.25,8,12
MG,campo belo,1836.34,21,21
GO,porangatu,1828.15,13,14
PR,guaratuba,1821.88,9,10
