date,year,quarter,month_num,month_name,year_month,day,day_of_week,is_weekend
2017-01-17,2017,Q1,1,January,2017-01,17,Tuesday,False
2017-01-18,2017,Q1,1,January,2017-01,18,Wednesday,False
2017-01-19,2017,Q1,1,January,2017-01,19,Thursday,False
2017-01-20,2017,Q1,1,January,2017-01,20,Friday,False
2017-01-21,2017,Q1,1,January,2017-01,21,Saturday,True
2017-01-22,2017,Q1,1,January,2017-01,22,Sunday,True
2017-01-23,2017,Q1,1,January,2017-01,23,Monday,False
2017-01-24,2017,Q1,1,January,2017-01,24,Tuesday,False
2017-01-25,2017,Q1,1,January,2017-01,25,Wednesday,False
2017-01-26,2017,Q1,1,January,2017-01,26,Thursday,False
2017-01-27,2017,Q1,1,January,2017-01,27,Friday,False
2017-01-28,2017,Q1,1,January,2017-01,28,Saturday,True
2017-01-29,2017,Q1,1,January,2017-01,29,Sunday,True
2017-01-30,2017,Q1,1,January,2017-01,30,Monday,False
2017-01-31,2017,Q1,1,January,2017-01,31,Tuesday,False
2017-02-01,2017,Q1,2,February,2017-02,1,Wednesday,False
2017-02-02,2017,Q1,2,February,2017-02,2,Thursday,False
2017-02-03,2017,Q1,2,February,2017-02,3,Friday,False
2017-02-04,2017,Q1,2,February,2017-02,4,Saturday,True
2017-02-05,2017,Q1,2,February,2017-02,5,Sunday,True
2017-02-06,2017,Q1,2,February,2017-02,6,Monday,False
2017-02-07,2017,Q1,2,February,2017-02,7,Tuesday,False
2017-02-08,2017,Q1,2,February,2017-02,8,Wednesday,False
2017-02-09,2017,Q1,2,February,2017-02,9,Thursday,False
2017-02-10,2017,Q1,2,February,2017-02,10,Friday,False
2017-02-11,2017,Q1,2,February,2017-02,11,Saturday,True
2017-02-12,2017,Q1,2,February,2017-02,12,Sunday,True
2017-02-13,2017,Q1,2,February,2017-02,13,Monday,False
2017-02-14,2017,Q1,2,February,2017-02,14,Tuesday,False
2017-02-15,2017,Q1,2,February,2017-02,15,Wednesday,False
2017-02-16,2017,Q1,2,February,2017-02,16,Thursday,False
2017-02-17,2017,Q1,2,February,2017-02,17,Friday,False
2017-02-18,2017,Q1,2,February,2017-02,18,Saturday,True
2017-02-19,2017,Q1,2,February,2017-02,19,Sunday,True
2017-02-20,2017,Q1,2,February,2017-02,20,Monday,False
2017-02-21,2017,Q1,2,February,2017-02,21,Tuesday,False
2017-02-22,2017,Q1,2,February,2017-02,22,Wednesday,False
2017-02-23,2017,Q1,2,February,2017-02,23,Thursday,False
2017-02-24,2017,Q1,2,February,2017-02,24,Friday,False
2017-02-25,2017,Q1,2,February,2017-02,25,Saturday,True
2017-02-26,2017,Q1,2,February,2017-02,26,Sunday,True
2017-02-27,2017,Q1,2,February,2017-02,27,Monday,False
2017-02-28,2017,Q1,2,February,2017-02,28,Tuesday,False
2017-03-01,2017,Q1,3,March,2017-03,1,Wednesday,False
2017-03-02,2017,Q1,3,March,2017-03,2,Thursday,False
2017-03-03,2017,Q1,3,March,2017-03,3,Friday,False
2017-03-04,2017,Q1,3,March,2017-03,4,Saturday,True
2017-03-05,2017,Q1,3,March,2017-03,5,Sunday,True
2017-03-06,2017,Q1,3,March,2017-03,6,Monday,False
2017-03-07,2017,Q1,3,March,2017-03,7,Tuesday,False
2017-03-08,2017,Q1,3,March,2017-03,8,Wednesday,False
2017-03-09,2017,Q1,3,March,2017-03,9,Thursday,False
2017-03-10,2017,Q1,3,March,2017-03,10,Friday,False
2017-03-11,2017,Q1,3,March,2017-03,11,Saturday,True
2017-03-12,2017,Q1,3,March,2017-03,12,Sunday,True
2017-03-13,2017,Q1,3,March,2017-03,13,Monday,False
2017-03-14,2017,Q1,3,March,2017-03,14,Tuesday,False
2017-03-15,2017,Q1,3,March,2017-03,15,Wednesday,False
2017-03-16,2017,Q1,3,March,2017-03,16,Thursday,False
2017-03-17,2017,Q1,3,March,2017-03,17,Friday,False
2017-03-18,2017,Q1,3,March,2017-03,18,Saturday,True
2017-03-19,2017,Q1,3,March,2017-03,19,Sunday,True
2017-03-20,2017,Q1,3,March,2017-03,20,Monday,False
2017-03-21,2017,Q1,3,March,2017-03,21,Tuesday,False
2017-03-22,2017,Q1,3,March,2017-03,22,Wednesday,False
2017-03-23,2017,Q1,3,March,2017-03,23,Thursday,False
2017-03-24,2017,Q1,3,March,2017-03,24,Friday,False
2017-03-25,2017,Q1,3,March,2017-03,25,Saturday,True
2017-03-26,2017,Q1,3,March,2017-03,26,Sunday,True
2017-03-27,2017,Q1,3,March,2017-03,27,Monday,False
2017-03-28,2017,Q1,3,March,2017-03,28,Tuesday,False
2017-03-29,2017,Q1,3,March,2017-03,29,Wednesday,False
2017-03-30,2017,Q1,3,March,2017-03,30,Thursday,False
2017-03-31,2017,Q1,3,March,2017-03,31,Friday,False
2017-04-01,2017,Q2,4,April,2017-04,1,Saturday,True
2017-04-02,2017,Q2,4,April,2017-04,2,Sunday,True
2017-04-03,2017,Q2,4,April,2017-04,3,Monday,False
2017-04-04,2017,Q2,4,April,2017-04,4,Tuesday,False
2017-04-05,2017,Q2,4,April,2017-04,5,Wednesday,False
2017-04-06,2017,Q2,4,April,2017-04,6,Thursday,False
2017-04-07,2017,Q2,4,April,2017-04,7,Friday,False
2017-04-08,2017,Q2,4,April,2017-04,8,Saturday,True
2017-04-09,2017,Q2,4,April,2017-04,9,Sunday,True
2017-04-10,2017,Q2,4,April,2017-04,10,Monday,False
2017-04-11,2017,Q2,4,April,2017-04,11,Tuesday,False
2017-04-12,2017,Q2,4,April,2017-04,12,Wednesday,False
2017-04-13,2017,Q2,4,April,2017-04,13,Thursday,False
2017-04-14,2017,Q2,4,April,2017-04,14,Friday,False
2017-04-15,2017,Q2,4,April,2017-04,15,Saturday,True
2017-04-16,2017,Q2,4,April,2017-04,16,Sunday,True
2017-04-17,2017,Q2,4,April,2017-04,17,Monday,False
2017-04-18,2017,Q2,4,April,2017-04,18,Tuesday,False
2017-04-19,2017,Q2,4,April,2017-04,19,Wednesday,False
2017-04-20,2017,Q2,4,April,2017-04,20,Thursday,False
2017-04-21,2017,Q2,4,April,2017-04,21,Friday,False
2017-04-22,2017,Q2,4,April,2017-04,22,Saturday,True
2017-04-23,2017,Q2,4,April,2017-04,23,Sunday,True
2017-04-24,2017,Q2,4,April,2017-04,24,Monday,False
2017-04-25,2017,Q2,4,April,2017-04,25,Tuesday,False
2017-04-26,2017,Q2,4,April,2017-04,26,Wednesday,False
2017-04-27,2017,Q2,4,April,2017-04,27,Thursday,False
2017-04-28,2017,Q2,4,April,2017-04,28,Friday,False
2017-04-29,2017,Q2,4,April,2017-04,29,Saturday,True
2017-04-30,2017,Q2,4,April,2017-04,30,Sunday,True
2017-05-01,2017,Q2,5,May,2017-05,1,Monday,False
2017-05-02,2017,Q2,5,May,2017-05,2,Tuesday,False
2017-05-03,2017,Q2,5,May,2017-05,3,Wednesday,False
2017-05-04,2017,Q2,5,May,2017-05,4,Thursday,False
2017-05-05,2017,Q2,5,May,2017-05,5,Friday,False
2017-05-06,2017,Q2,5,May,2017-05,6,Saturday,True
2017-05-07,2017,Q2,5,May,2017-05,7,Sunday,True
2017-05-08,2017,Q2,5,May,2017-05,8,Monday,False
2017-05-09,2017,Q2,5,May,2017-05,9,Tuesday,False
2017-05-10,2017,Q2,5,May,2017-05,10,Wednesday,False
2017-05-11,2017,Q2,5,May,2017-05,11,Thursday,False
2017-05-12,2017,Q2,5,May,2017-05,12,Friday,False
2017-05-13,2017,Q2,5,May,2017-05,13,Saturday,True
2017-05-14,2017,Q2,5,May,2017-05,14,Sunday,True
2017-05-15,2017,Q2,5,May,2017-05,15,Monday,False
2017-05-16,2017,Q2,5,May,2017-05,16,Tuesday,False
2017-05-17,2017,Q2,5,May,2017-05,17,Wednesday,False
2017-05-18,2017,Q2,5,May,2017-05,18,Thursday,False
2017-05-19,2017,Q2,5,May,2017-05,19,Friday,False
2017-05-20,2017,Q2,5,May,2017-05,20,Saturday,True
2017-05-21,2017,Q2,5,May,2017-05,21,Sunday,True
2017-05-22,2017,Q2,5,May,2017-05,22,Monday,False
2017-05-23,2017,Q2,5,May,2017-05,23,Tuesday,False
2017-05-24,2017,Q2,5,May,2017-05,24,Wednesday,False
2017-05-25,2017,Q2,5,May,2017-05,25,Thursday,False
2017-05-26,2017,Q2,5,May,2017-05,26,Friday,False
2017-05-27,2017,Q2,5,May,2017-05,27,Saturday,True
2017-05-28,2017,Q2,5,May,2017-05,28,Sunday,True
2017-05-29,2017,Q2,5,May,2017-05,29,Monday,False
2017-05-30,2017,Q2,5,May,2017-05,30,Tuesday,False
2017-05-31,2017,Q2,5,May,2017-05,31,Wednesday,False
2017-06-01,2017,Q2,6,June,2017-06,1,Thursday,False
2017-06-02,2017,Q2,6,June,2017-06,2,Friday,False
2017-06-03,2017,Q2,6,June,2017-06,3,Saturday,True
2017-06-04,2017,Q2,6,June,2017-06,4,Sunday,True
2017-06-05,2017,Q2,6,June,2017-06,5,Monday,False
2017-06-06,2017,Q2,6,June,2017-06,6,Tuesday,False
2017-06-07,2017,Q2,6,June,2017-06,7,Wednesday,False
2017-06-08,2017,Q2,6,June,2017-06,8,Thursday,False
2017-06-09,2017,Q2,6,June,2017-06,9,Friday,False
2017-06-10,2017,Q2,6,June,2017-06,10,Saturday,True
2017-06-11,2017,Q2,6,June,2017-06,11,Sunday,True
2017-06-12,2017,Q2,6,June,2017-06,12,Monday,False
2017-06-13,2017,Q2,6,June,2017-06,13,Tuesday,False
2017-06-14,2017,Q2,6,June,2017-06,14,Wednesday,False
2017-06-15,2017,Q2,6,June,2017-06,15,Thursday,False
2017-06-16,2017,Q2,6,June,2017-06,16,Friday,False
2017-06-17,2017,Q2,6,June,2017-06,17,Saturday,True
2017-06-18,2017,Q2,6,June,2017-06,18,Sunday,True
2017-06-19,2017,Q2,6,June,2017-06,19,Monday,False
2017-06-20,2017,Q2,6,June,2017-06,20,Tuesday,False
2017-06-21,2017,Q2,6,June,2017-06,21,Wednesday,False
2017-06-22,2017,Q2,6,June,2017-06,22,Thursday,False
2017-06-23,2017,Q2,6,June,2017-06,23,Friday,False
2017-06-24,2017,Q2,6,June,2017-06,24,Saturday,True
2017-06-25,2017,Q2,6,June,2017-06,25,Sunday,True
2017-06-26,2017,Q2,6,June,2017-06,26,Monday,False
2017-06-27,2017,Q2,6,June,2017-06,27,Tuesday,False
2017-06-28,2017,Q2,6,June,2017-06,28,Wednesday,False
2017-06-29,2017,Q2,6,June,2017-06,29,Thursday,False
2017-06-30,2017,Q2,6,June,2017-06,30,Friday,False
2017-07-01,2017,Q3,7,July,2017-07,1,Saturday,True
2017-07-02,2017,Q3,7,July,2017-07,2,Sunday,True
2017-07-03,2017,Q3,7,July,2017-07,3,Monday,False
2017-07-04,2017,Q3,7,July,2017-07,4,Tuesday,False
2017-07-05,2017,Q3,7,July,2017-07,5,Wednesday,False
2017-07-06,2017,Q3,7,July,2017-07,6,Thursday,False
2017-07-07,2017,Q3,7,July,2017-07,7,Friday,False
2017-07-08,2017,Q3,7,July,2017-07,8,Saturday,True
2017-07-09,2017,Q3,7,July,2017-07,9,Sunday,True
2017-07-10,2017,Q3,7,July,2017-07,10,Monday,False
2017-07-11,2017,Q3,7,July,2017-07,11,Tuesday,False
2017-07-12,2017,Q3,7,July,2017-07,12,Wednesday,False
2017-07-13,2017,Q3,7,July,2017-07,13,Thursday,False
2017-07-14,2017,Q3,7,July,2017-07,14,Friday,False
2017-07-15,2017,Q3,7,July,2017-07,15,Saturday,True
2017-07-16,2017,Q3,7,July,2017-07,16,Sunday,True
2017-07-17,2017,Q3,7,July,2017-07,17,Monday,False
2017-07-18,2017,Q3,7,July,2017-07,18,Tuesday,False
2017-07-19,2017,Q3,7,July,2017-07,19,Wednesday,False
2017-07-20,2017,Q3,7,July,2017-07,20,Thursday,False
2017-07-21,2017,Q3,7,July,2017-07,21,Friday,False
2017-07-22,2017,Q3,7,July,2017-07,22,Saturday,True
2017-07-23,2017,Q3,7,July,2017-07,23,Sunday,True
2017-07-24,2017,Q3,7,July,2017-07,24,Monday,False
2017-07-25,2017,Q3,7,July,2017-07,25,Tuesday,False
2017-07-26,2017,Q3,7,July,2017-07,26,Wednesday,False
2017-07-27,2017,Q3,7,July,2017-07,27,Thursday,False
2017-07-28,2017,Q3,7,July,2017-07,28,Friday,False
2017-07-29,2017,Q3,7,July,2017-07,29,Saturday,True
2017-07-30,2017,Q3,7,July,2017-07,30,Sunday,True
2017-07-31,2017,Q3,7,July,2017-07,31,Monday,False
2017-08-01,2017,Q3,8,August,2017-08,1,Tuesday,False
2017-08-02,2017,Q3,8,August,2017-08,2,Wednesday,False
2017-08-03,2017,Q3,8,August,2017-08,3,Thursday,False
2017-08-04,2017,Q3,8,August,2017-08,4,Friday,False
2017-08-05,2017,Q3,8,August,2017-08,5,Saturday,True
2017-08-06,2017,Q3,8,August,2017-08,6,Sunday,True
2017-08-07,2017,Q3,8,August,2017-08,7,Monday,False
2017-08-08,2017,Q3,8,August,2017-08,8,Tuesday,False
2017-08-09,2017,Q3,8,August,2017-08,9,Wednesday,False
2017-08-10,2017,Q3,8,August,2017-08,10,Thursday,False
2017-08-11,2017,Q3,8,August,2017-08,11,Friday,False
2017-08-12,2017,Q3,8,August,2017-08,12,Saturday,True
2017-08-13,2017,Q3,8,August,2017-08,13,Sunday,True
2017-08-14,2017,Q3,8,August,2017-08,14,Monday,False
2017-08-15,2017,Q3,8,August,2017-08,15,Tuesday,False
2017-08-16,2017,Q3,8,August,2017-08,16,Wednesday,False
2017-08-17,2017,Q3,8,August,2017-08,17,Thursday,False
2017-08-18,2017,Q3,8,August,2017-08,18,Friday,False
2017-08-19,2017,Q3,8,August,2017-08,19,Saturday,True
2017-08-20,2017,Q3,8,August,2017-08,20,Sunday,True
2017-08-21,2017,Q3,8,August,2017-08,21,Monday,False
2017-08-22,2017,Q3,8,August,2017-08,22,Tuesday,False
2017-08-23,2017,Q3,8,August,2017-08,23,Wednesday,False
2017-08-24,2017,Q3,8,August,2017-08,24,Thursday,False
2017-08-25,2017,Q3,8,August,2017-08,25,Friday,False
2017-08-26,2017,Q3,8,August,2017-08,26,Saturday,True
2017-08-27,2017,Q3,8,August,2017-08,27,Sunday,True
2017-08-28,2017,Q3,8,August,2017-08,28,Monday,False
2017-08-29,2017,Q3,8,August,2017-08,29,Tuesday,False
2017-08-30,2017,Q3,8,August,2017-08,30,Wednesday,False
2017-08-31,2017,Q3,8,August,2017-08,31,Thursday,False
2017-09-01,2017,Q3,9,September,2017-09,1,Friday,False
2017-09-02,2017,Q3,9,September,2017-09,2,Saturday,True
2017-09-03,2017,Q3,9,September,2017-09,3,Sunday,True
2017-09-04,2017,Q3,9,September,2017-09,4,Monday,False
2017-09-05,2017,Q3,9,September,2017-09,5,Tuesday,False
2017-09-06,2017,Q3,9,September,2017-09,6,Wednesday,False
2017-09-07,2017,Q3,9,September,2017-09,7,Thursday,False
2017-09-08,2017,Q3,9,September,2017-09,8,Friday,False
2017-09-09,2017,Q3,9,September,2017-09,9,Saturday,True
2017-09-10,2017,Q3,9,September,2017-09,10,Sunday,True
2017-09-11,2017,Q3,9,September,2017-09,11,Monday,False
2017-09-12,2017,Q3,9,September,2017-09,12,Tuesday,False
2017-09-13,2017,Q3,9,September,2017-09,13,Wednesday,False
2017-09-14,2017,Q3,9,September,2017-09,14,Thursday,False
2017-09-15,2017,Q3,9,September,2017-09,15,Friday,False
2017-09-16,2017,Q3,9,September,2017-09,16,Saturday,True
2017-09-17,2017,Q3,9,September,2017-09,17,Sunday,True
2017-09-18,2017,Q3,9,September,2017-09,18,Monday,False
2017-09-19,2017,Q3,9,September,2017-09,19,Tuesday,False
2017-09-20,2017,Q3,9,September,2017-09,20,Wednesday,False
2017-09-21,2017,Q3,9,September,2017-09,21,Thursday,False
2017-09-22,2017,Q3,9,September,2017-09,22,Friday,False
2017-09-23,2017,Q3,9,September,2017-09,23,Saturday,True
2017-09-24,2017,Q3,9,September,2017-09,24,Sunday,True
2017-09-25,2017,Q3,9,September,2017-09,25,Monday,False
2017-09-26,2017,Q3,9,September,2017-09,26,Tuesday,False
2017-09-27,2017,Q3,9,September,2017-09,27,Wednesday,False
2017-09-28,2017,Q3,9,September,2017-09,28,Thursday,False
2017-09-29,2017,Q3,9,September,2017-09,29,Friday,False
2017-09-30,2017,Q3,9,September,2017-09,30,Saturday,True
2017-10-01,2017,Q4,10,October,2017-10,1,Sunday,True
2017-10-02,2017,Q4,10,October,2017-10,2,Monday,False
2017-10-03,2017,Q4,10,October,2017-10,3,Tuesday,False
2017-10-04,2017,Q4,10,October,2017-10,4,Wednesday,False
2017-10-05,2017,Q4,10,October,2017-10,5,Thursday,False
2017-10-06,2017,Q4,10,October,2017-10,6,Friday,False
2017-10-07,2017,Q4,10,October,2017-10,7,Saturday,True
2017-10-08,2017,Q4,10,October,2017-10,8,Sunday,True
2017-10-09,2017,Q4,10,October,2017-10,9,Monday,False
2017-10-10,2017,Q4,10,October,2017-10,10,Tuesday,False
2017-10-11,2017,Q4,10,October,2017-10,11,Wednesday,False
2017-10-12,2017,Q4,10,October,2017-10,12,Thursday,False
2017-10-13,2017,Q4,10,October,2017-10,13,Friday,False
2017-10-14,2017,Q4,10,October,2017-10,14,Saturday,True
2017-10-15,2017,Q4,10,October,2017-10,15,Sunday,True
2017-10-16,2017,Q4,10,October,2017-10,16,Monday,False
2017-10-17,2017,Q4,10,October,2017-10,17,Tuesday,False
2017-10-18,2017,Q4,10,October,2017-10,18,Wednesday,False
2017-10-19,2017,Q4,10,October,2017-10,19,Thursday,False
2017-10-20,2017,Q4,10,October,2017-10,20,Friday,False
2017-10-21,2017,Q4,10,October,2017-10,21,Saturday,True
2017-10-22,2017,Q4,10,October,2017-10,22,Sunday,True
2017-10-23,2017,Q4,10,October,2017-10,23,Monday,False
2017-10-24,2017,Q4,10,October,2017-10,24,Tuesday,False
2017-10-25,2017,Q4,10,October,2017-10,25,Wednesday,False
2017-10-26,2017,Q4,10,October,2017-10,26,Thursday,False
2017-10-27,2017,Q4,10,October,2017-10,27,Friday,False
2017-10-28,2017,Q4,10,October,2017-10,28,Saturday,True
2017-10-29,2017,Q4,10,October,2017-10,29,Sunday,True
2017-10-30,2017,Q4,10,October,2017-10,30,Monday,False
2017-10-31,2017,Q4,10,October,2017-10,31,Tuesday,False
2017-11-01,2017,Q4,11,November,2017-11,1,Wednesday,False
2017-11-02,2017,Q4,11,November,2017-11,2,Thursday,False
2017-11-03,2017,Q4,11,November,2017-11,3,Friday,False
2017-11-04,2017,Q4,11,November,2017-11,4,Saturday,True
2017-11-05,2017,Q4,11,November,2017-11,5,Sunday,True
2017-11-06,2017,Q4,11,November,2017-11,6,Monday,False
2017-11-07,2017,Q4,11,November,2017-11,7,Tuesday,False
2017-11-08,2017,Q4,11,November,2017-11,8,Wednesday,False
2017-11-09,2017,Q4,11,November,2017-11,9,Thursday,False
2017-11-10,2017,Q4,11,November,2017-11,10,Friday,False
2017-11-11,2017,Q4,11,November,2017-11,11,Saturday,True
2017-11-12,2017,Q4,11,November,2017-11,12,Sunday,True
